eta,reference,P_wrap,marked,chi,xi,n
0.74,K2_kagome,0.0,0.003031305114638448,1.0222222222222221,0.03324827581123707,9
0.74,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.75,K1_maple_leaf,0.0,0.2725418871252205,1.8203304014523936,0.7548509354740447,9
0.75,K2_kagome,0.0,0.002039241622574956,0.9333333333333333,0.04392953849213881,9
0.75,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.76,K1_maple_leaf,0.0,0.27612433862433866,1.7880566565173939,0.7442892315840914,9
0.76,K2_kagome,0.0,0.0013778659611992945,0.8888888888888888,0.0,9
0.76,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.77,K1_maple_leaf,0.0,0.28286210317460314,1.6983056283191638,0.6682621207379291,8
0.77,K2_kagome,0.0,0.0013640873015873015,1.0,0.0,8
0.77,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.771343,K1_maple_leaf,0.0,0.2858796296296296,1.7195044810500582,0.7048734551818746,9
0.771343,K2_kagome,0.0,0.0009369488536155202,1.0,0.0,9
0.771343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.771843,K1_maple_leaf,0.0,0.2864307760141094,1.743322480675134,0.7304236857053072,9
0.771843,K2_kagome,0.0,0.0009369488536155202,1.0,0.0,9
0.771843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.772343,K1_maple_leaf,0.0,0.28648589065255736,1.7570815217095506,0.7130159400245133,9
0.772343,K2_kagome,0.0,0.0011574074074074073,1.0,0.0,9
0.772343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.772843,K1_maple_leaf,0.0,0.2894069664902998,1.75367846269317,0.661764452761172,9
0.772843,K2_kagome,0.0,0.0009369488536155202,1.0,0.0,9
0.772843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.773343,K1_maple_leaf,0.0,0.2899305555555556,1.6901159853824415,0.6412800186337991,8
0.773343,K2_kagome,0.0,0.000992063492063492,0.875,0.0,8
